img,healthy,leaf_rust,powdery_mildew,seedlings,septoria,stem_rust,yellow_rust
Orlova_0000000001ffffff.jpg,0,1,0,1,0,0,0
Orlova_000000009fffffff.jpg,0,1,0,1,0,0,0
Orlova_00000000ffffffff.jpg,0,1,0,1,0,0,0
Orlova_0000000181ffff7e.jpg,0,1,0,1,0,0,0
Orlova_00000003c3ff7f3e.jpg,0,1,0,1,0,0,0
Orlova_00000004fffffffe.jpg,0,1,0,1,0,0,0
Orlova_00000010ffffffff.jpg,0,1,0,1,0,0,0
TgBot_0000001efffffffc.jpg,0,1,0,0,0,0,0
ZindiTrain_0000001f9fff9e3c.jpg,0,0,0,0,0,0,1
Orlova_000000427f7e3c3c.jpg,0,1,0,1,0,0,0
ZindiTrain_000000ffffc3cded.jpg,0,1,1,0,0,0,0
Skolotneva_00000101d9f9ffff.jpg,0,0,0,1,0,1,0
Bechtold_0000010301bfe7ff.jpg,0,0,1,0,0,0,0
ZindiTest_000003374e5fcfff.jpg,0,1,0,0,0,0,0
ZindiTrain_0000035f29ef7efe.jpg,0,0,0,0,0,0,1
Orlova_000004fcffeffcec.jpg,0,1,0,0,0,0,0
plantix_000008183bffffff.jpg,1,0,0,1,0,0,0
Internet_00000828ff3f20b6.jpg,0,0,0,0,0,0,1
ZindiTrain_00000c7e9e1f1fff.jpg,0,0,0,0,0,0,1
ZindiTest_00000e3f04ffffff.jpg,0,0,0,0,0,1,0
ZindiTrain_00000efefeff8f29.jpg,0,1,0,0,0,0,0
Internet_00000efefeff8f2b.jpg,0,1,0,0,0,0,0
Skolotneva_000010ffff3f0000.jpg,0,0,0,1,0,1,0
Internet_0000246bdbbffefc.jpg,0,0,1,0,0,0,0
ZindiTrain_0000383878f9fbf9.jpg,0,1,0,0,0,0,0
TgBot_00003f3f3f3f2f81.jpg,0,1,1,0,0,0,0
pdd.jinr.ru_0000585c4ee6fefc.jpg,1,0,0,0,0,0,0
ZindiTrain_000060f67e667e7e.jpg,1,0,0,0,0,0,0
ZindiTest_000080f0ff3f0720.jpg,0,1,0,0,0,0,0
Skolotneva_000098fdfdf8f0f0.jpg,0,0,0,1,0,1,0
Skolotneva_0000b87c3cfcfcfc.jpg,0,1,1,0,0,0,0
Gultyaeva_0000c0e0e3ffffff.jpg,0,0,0,1,0,0,1
ZindiTrain_0000d8ffffff9c00.jpg,0,0,0,0,0,0,1
Skolotneva_0000e0ffff030000.jpg,0,1,1,0,0,0,0
Afonnikov_0000e7e7e7e7e7ef.jpg,0,1,0,1,0,0,0
Orlova_0000f0fe7f2b1f3f.jpg,0,1,0,0,0,0,0
ZindiTest_0000f7ffffff0e00.jpg,0,1,0,0,0,0,0
Orlova_0000ffc21ffef8c0.jpg,0,0,0,0,0,0,1
Internet_0000fffff0010000.jpg,0,0,0,0,0,0,1
ZindiTrain_0000ffffffff0000.jpg,0,1,0,0,0,0,0
Skolotneva_0000ffffffff8180.jpg,0,0,0,1,0,1,0
ZindiTrain_000171feff011000.jpg,0,1,0,0,0,0,0
Afonnikov_000183c3c3e7ffff.jpg,0,1,0,1,0,0,0
Afonnikov_00020f000f3fffff.jpg,0,1,0,1,0,0,0
ZindiTrain_00020f1f7b776ffe.jpg,0,1,0,0,0,0,0
Skolotneva_00021f3f0f1f3f7f.jpg,0,1,0,0,0,0,0
plantix_0002f8ff6f602020.jpg,0,0,0,0,1,0,0
ZindiTest_00041021e52fbf61.jpg,0,0,0,0,0,1,0
pdd.jinr.ru_00051ffffffcf000.jpg,0,1,0,0,0,0,0
ZindiTest_0005eb3b1d9f9f87.jpg,0,0,0,0,0,0,1
